image_name,distance,x_min,y_min,x_max,y_max,conf,class,width,height,center_x,center_y,bottom_y,dist_to_center,GPS_latitude,GPS_longitude,GPS_Altitude,GPS_Direction,exposure,aperture,iso,focus,zoom,iphone,day,hour,minute,second,car_brand,car_model,car_gen,car_body,car_colour,car_width_m,car_height_m,calc_dist
img_1596.jpg,4.88,1664.58349609375,1174.2825927734375,2283.070068359375,1682.0533447265625,0.8969070911407471,2.0,618.486572265625,507.770751953125,1973.8267822265625,1428.16796875,1341.9466552734375,93.84236655619232,54.32963611111112,48.39546944444445,181.60288560632085,171.06460562822036,675,2.4,20,1.54,1.2342857142857142,11,7,11,2,48,Datsun,Ondo,New,Hatch,Red,1.7,1.5,5.63267452923878
img_1600.jpg,1.54,1122.9595947265625,1167.01171875,3021.628662109375,2706.17431640625,0.8794196248054504,2.0,1898.6690673828125,1539.16259765625,2072.2941284179688,1936.593017578125,317.82568359375,428.308603077777,54.32944166666667,48.39536388888889,181.62572989263515,173.65003958828186,309,2.4,20,1.54,1.261050875729775,11,7,11,5,18,Datsun,Ondo,New,Hatch,Red,1.7,1.5,3.18402791107238
img_1601.jpg,3.68,1576.516357421875,1202.498046875,2453.536865234375,2022.0457763671875,0.8101964592933655,2.0,877.0205078125,819.5477294921875,2015.026611328125,1612.2719116210938,1001.9542236328125,100.27663609064163,54.32943333333333,48.39530833333333,181.6146001073537,181.07705677867904,193,2.4,20,1.54,1.261050875729775,11,7,11,6,29,Lada,Niva,Old,SUV,Violet,1.68,1.64,4.599221911812195
img_1603.jpg,2.22,1268.415771484375,1084.2049560546875,2723.26220703125,2323.0830078125,0.8629650473594666,2.0,1454.846435546875,1238.8780517578125,1995.8389892578125,1703.6439819335938,700.9169921875,192.70153648974937,54.32944444444445,48.39533611111112,181.74959283387625,177.66459656115308,122,2.4,20,1.54,1.261050875729775,11,7,11,6,54,Lada,Niva,Old,SUV,Violet,1.68,1.64,3.543852027703956
img_1605.jpg,3.73,1604.41064453125,1116.510009765625,2476.778564453125,1917.81982421875,0.7825868725776672,2.0,872.367919921875,801.309814453125,2040.5946044921875,1517.1649169921875,1106.18017578125,25.13107513942284,54.32945277777778,48.395291666666665,182.3752468729428,175.05442804428046,183,2.4,20,1.54,1.2868085106382978,11,7,11,7,37,Lada,Niva,Old,SUV,Violet,1.68,1.64,4.7076245561882155
img_1606.jpg,4.52,1640.977294921875,1040.6397705078125,2344.041748046875,1730.1588134765625,0.5829038619995117,2.0,703.064453125,689.51904296875,1992.509521484375,1385.3992919921875,1293.8411865234375,128.76156976742882,54.32944444444445,48.395291666666665,182.0769948670089,177.2662962962963,219,2.4,20,1.54,1.305699481865285,11,7,11,8,0,Lada,Niva,Old,SUV,Violet,1.68,1.64,5.442799162167347
img_1607.jpg,5.4,1718.2674560546875,1291.5574951171875,2326.380126953125,1880.73046875,0.6665400266647339,2.0,608.1126708984375,589.1729736328125,2022.3237915039062,1586.1439819335938,1143.26953125,74.4131735377141,54.32946666666667,48.39525277777778,182.1022840119166,178.3209534368071,225,2.4,20,1.54,1.305699481865285,11,7,11,8,16,Lada,Niva,Old,SUV,Violet,1.68,1.64,5.978681108633362
img_1608.jpg,6.21,1773.8284912109375,1212.2857666015625,2307.931640625,1712.839111328125,0.5470719337463379,2.0,534.1031494140625,500.5533447265625,2040.8800659179688,1462.5624389648438,1311.160888671875,55.34519058768584,54.32944444444445,48.39528611111111,182.1376071866068,179.39212036606173,195,2.4,20,1.54,1.305699481865285,11,7,11,8,36,Lada,Niva,Old,SUV,Violet,1.68,1.64,6.528504995166725
img_1612.jpg,7.12,1714.181396484375,1351.1873779296875,2210.949951171875,1827.489990234375,0.6387632489204407,2.0,496.7685546875,476.3026123046875,1962.565673828125,1589.3386840820312,1196.510009765625,94.00265564856431,54.32947222222223,48.395247222222224,181.7751418256833,184.1874541452678,247,2.4,20,1.54,1.2383292383292384,11,7,11,10,7,Lada,Niva,Old,SUV,Violet,1.68,1.64,6.513664083335888
img_1613.jpg,5.26,1696.54150390625,1177.0128173828125,2298.04296875,1762.9005126953125,0.5883667469024658,2.0,601.50146484375,585.8876953125,1997.292236328125,1469.9566650390625,1261.0994873046875,46.0176317973917,54.32945,48.39525277777778,181.7538779731127,176.38619979402677,193,2.4,20,1.54,1.2383292383292384,11,7,11,10,28,Lada,Niva,Old,SUV,Violet,1.68,1.64,5.711560459089227
